"ï..DIRECTORIO","SECUENCIA_P","SECUENCIA_ENCUESTA","P6051","P6020","P6040","P5502","P6080","P8587","I_HOGAR","CANT_PERSONAS_HOGAR","REGION","P8520S1A1"
7122061,1,1,1,1,71,2,6,3,2934333.33333333,4,2,2
7122062,1,1,1,2,34,2,5,3,545000,5,2,2
7122063,1,1,1,2,24,2,6,9,2589523,2,2,2
7122064,1,1,1,1,63,6,6,3,1750000,3,2,2
7122065,1,1,1,2,62,6,6,3,3150000,3,2,3
7122066,1,1,1,2,32,4,6,9,1241666.66666667,4,2,2
7122067,1,1,1,1,34,6,6,3,1295000,4,2,2
7122068,1,1,1,2,50,4,6,5,550000,2,2,2
7122069,1,1,1,1,67,2,6,7,3068116,2,2,2
7122071,1,1,1,2,38,6,6,NA,4348500,5,2,3
7122072,1,1,1,1,74,3,6,3,1528116,3,2,2
7122072,2,1,1,1,58,4,6,3,1528116,3,2,2
7122073,1,1,1,2,70,3,6,3,3300000,2,2,2
7122073,2,1,1,2,44,4,6,4,3300000,2,2,2
7122074,1,1,1,2,44,4,5,9,1774833.33333333,1,2,2
7122075,1,1,1,2,26,5,6,6,345833.333333333,2,2,1
7122076,1,1,1,1,61,2,6,3,1280000,3,2,1
7122077,1,1,1,2,68,3,6,3,2561833.33333333,3,2,1
7122078,1,1,1,1,64,6,6,10,7e+05,2,2,1
7122079,1,1,1,1,73,6,6,1,2030500,8,2,1
7122080,1,1,1,1,39,4,6,7,854000,1,2,2
7122080,2,1,1,2,37,4,6,4,854000,1,2,2
7122081,1,1,1,2,38,2,6,5,1100000,4,2,2
7122083,1,1,1,1,38,2,6,4,2278666.66666667,4,2,2
7122084,1,1,1,2,57,3,6,1,225000,1,2,2
7122085,1,1,1,2,68,3,6,4,1828000,2,2,2
7122086,1,1,1,2,23,2,6,3,1030000,4,2,1
7122086,2,1,1,2,29,2,6,3,1030000,4,2,1
7122087,1,1,1,2,31,5,6,5,1288333.33333333,4,2,1
7122088,1,1,1,2,40,2,6,5,2527898.66666667,8,2,2
7122089,1,1,1,1,49,6,6,3,1175166.66666667,7,2,2
7122090,1,1,1,1,48,6,6,4,3850000,4,2,2
7122091,1,1,1,2,38,2,6,5,2530184.83333333,4,2,2
7122093,1,1,1,1,59,6,6,5,3539166.66666667,4,2,3
7122094,1,1,1,1,54,6,6,5,2128333.33333333,5,2,3
7122096,1,1,1,1,32,6,6,NA,2533333.33333333,3,2,2
7122097,1,1,1,1,56,6,6,5,1678116,2,2,3
7122098,1,1,1,2,51,1,6,7,2532032,2,2,3
7122103,1,1,1,2,69,5,6,5,1284366,2,2,2
7122104,1,1,1,1,20,5,6,5,8e+05,1,2,2
7122105,1,1,1,1,56,4,6,3,2200000,1,2,2
7122108,1,1,1,1,45,2,6,5,1400000,3,2,3
7122110,1,1,1,1,26,1,6,NA,4100000,3,2,3
7122111,1,1,1,1,56,6,6,4,2825000,5,2,3
7122113,1,1,1,2,56,3,6,5,3025728.66666667,3,2,3
7122115,1,1,1,2,63,6,6,3,650000,2,2,2
7122115,2,1,1,2,42,6,6,5,650000,2,2,2
7122116,1,1,1,1,84,6,6,1,1694981.33333333,3,2,2
7122116,2,1,1,1,57,6,6,3,1694981.33333333,3,2,2
